day,log_return,volume,orders
1,0.005926169848746786,2192337.7847851748,8
2,0.015514841075299652,802605.0526105167,8
3,0.007473091725026808,3137217.756285696,9
4,0.020384245824862274,1174889.6362518354,8
5,0.011428268457936102,985581.9181863514,12
6,0.036020883917526635,3264450.398714129,12
7,-0.012703122727843531,2793828.270947015,16
8,0.01830472543346446,971312.1829119856,15
9,-0.01260621540671502,871708.9951238331,9
10,0.005100373808485187,2534531.81254389,15
11,-0.010216508727243,840053.0362449232,13
12,-0.014015923985337056,2447242.107210395,18
13,-0.01933221255353021,1524339.8431549212,13
14,0.012749560377048589,745175.1332685557,11
15,-0.00937962899512951,827924.8776490983,12
16,0.018421841899652177,904094.1782626233,9
17,-0.010920135620027043,762368.2628639422,11
18,0.01118030101349884,413683.3986494582,13
19,0.0023586983294950925,2561904.484678593,11
20,0.009549214900051714,957977.6355624716,12
21,0.007454542475815661,3406473.1385287335,12
22,-0.012896186391364965,1049295.1476557057,5
23,0.015373978142409015,1313143.378884691,12
24,0.019675533690970432,1001510.9372937306,15
25,-0.020033131375797913,1404541.59697677,16
26,-0.013185019006726766,2909856.3736949833,12
27,-0.010900726044383547,1376176.5097273157,12
28,0.014755342067913634,998312.5885341953,7
29,0.005628770542630125,1604237.0176117683,9
30,-0.012529743807774215,2297340.8691999693,14
31,0.01798761490595577,2901694.9518379974,5
32,0.019454675157597662,1146105.123048822,14
33,-0.0387966085307807,1407256.0831203107,10
34,0.0005611726817127693,854360.2320776716,9
35,0.04034802390513834,1803106.7626813003,9
36,0.014989775879173946,1116713.7578953663,16
37,0.011999418098382446,676886.1504665312,12
38,0.006350329168634119,2239828.686050378,10
39,0.02583819914934942,1704859.7333191948,13
40,0.025205690771267796,410140.63848868397,12
41,-0.024368735060240235,1885881.6583251285,17
42,-0.012896996222512738,1090373.2216337598,8
43,-0.02605750223913551,852251.5572338791,11
44,0.006995054791558671,2189210.0967196287,9
45,0.001970652027140446,1886089.6299635884,17
46,-0.01831607835359233,954649.520314768,16
47,-0.01738135503121565,808877.5412340214,12
48,0.0009603015525750918,2285040.2025458515,7
49,-0.014593676470815673,1460518.9988784543,9
50,-0.005593118590886327,916508.8736683524,15
51,0.016832579324811144,1704467.9973403006,10
52,-0.019311173243736487,3871905.21540672,13
53,0.010460798648631708,1063568.8210391784,9
54,0.012281959905199905,1265577.9340996156,9
55,-0.014693379555198364,920017.4896874388,10
56,0.0007177098214512125,1898068.886016384,12
57,0.012266937347628385,1767442.7762690696,16
58,0.0026745588899608395,641836.8149054386,5
59,0.025491355630509856,3195393.7306238716,13
60,-0.015811594397678957,2025428.8376105197,7
61,-0.004836235616144633,616595.1716087182,13
62,-0.010548319910048808,2621736.015628803,12
63,0.0013787525063349722,893899.6421884588,12
64,0.005546500570061555,2107579.798111565,18
65,0.002838287601177572,1130835.446809627,8
66,-0.0008023008534343034,1198849.741519598,15
67,0.014181152318469477,1525690.8009048298,13
68,0.008443694331227897,1517121.0613855617,8
69,-0.011206674746855666,2176539.205551183,10
70,0.022572226235870536,1547704.4459762292,16
71,-0.008435110020254767,1083515.7922953798,13
72,0.015618519285447155,729767.8886075068,15
73,-0.01823470424675392,2115953.9050680357,6
74,-0.020186941296671312,2185577.7673223456,5
75,-0.004444133260808317,1292283.0673460513,16
76,-0.03640048109349938,1452355.3244912152,17
77,0.001680865918140372,1630092.8214287336,17
78,0.015291860954883243,1257528.4506001351,14
79,0.006778476955401539,1210646.6405152495,9
80,0.010063493019780283,1486173.9822176814,9
81,0.020533384322086252,958869.0853708767,13
82,0.012120568028741048,554802.5489537924,11
83,-0.023561550146637734,1424315.4947544066,13
84,0.018830704241398724,870935.0477126488,13
85,-0.01106918094368546,1316558.9249104667,7
86,0.017136587182752287,1558299.29240587,13
87,0.007855513783517733,1047729.658197333,9
88,-0.0054900952183415805,1000740.4953605904,11
89,0.018631921972550945,553005.1160201491,15
90,3.5403823621700016e-05,641797.6520689565,11
91,0.0041955320265040065,1224953.4496089448,13
92,-0.008065013641306533,747551.6331233201,16
93,0.029250026632270842,1881461.0755673742,15
94,-0.020115036839087892,709991.5859636763,19
95,-0.013203517568990766,469509.0768372769,17
96,0.01727989571547326,721262.6233389266,11
97,-0.03628630210193906,643873.1006086161,13
98,-0.008694568994038273,2032908.083371982,11
99,0.0016471858397694554,744850.5185443647,13
100,-0.0136389416750999,2125633.6013907907,10
101,-0.007703237217687199,1477561.6047671877,11
102,0.006413786059946594,565412.5785571836,9
103,-0.01404133391067236,1401422.6889598065,13
104,-0.035956022540911,1398947.6182185798,14
105,-0.012375816234853508,1098636.6209683372,13
106,-0.0017064476812442438,814225.2037720616,8
107,0.014130606296827494,740077.2272870406,5
108,-0.018762284613070678,1246235.256636178,9
109,-0.016448852821642584,663665.6675596596,18
110,0.021337469244997218,1150451.6400016297,14
111,0.010146270515248416,1204491.9079514788,9
112,0.023794254247691646,368263.06013399817,9
113,0.02398002460892953,1102461.0849677064,16
114,-0.006190895903954475,2073563.7036443606,13
115,0.0032693797061996684,1145065.5788415268,15
116,0.015832872207918278,1257267.2083747524,15
117,-0.00940578665098209,2100288.7634642343,7
118,-0.02755861049710191,1633526.1145817244,10
119,0.026649296488137537,922566.1589296891,13
120,0.010661784442323293,788267.9453853465,12
121,-0.02518361223399929,1710304.5007428697,8
122,0.012581973650911774,757375.0609707895,20
123,-0.0013192679528279427,1357869.4852211892,17
124,-0.000453116733476976,1116278.1935070883,12
125,0.014172035950091495,1648081.778794232,10
126,-0.009091398615476708,2025005.6959279308,8
127,-0.004635158035633701,1095605.150987848,9
128,0.01575719393896189,1236965.3896959224,22
129,-0.020585771388244287,1193242.4627835096,14
130,0.04176856655166038,1607106.2776549128,10
131,0.02122633651838752,860758.9123689255,15
132,-0.0002512648486580306,2044876.3177745584,11
133,0.02500200904557683,926664.4960680641,17
134,-0.022498151292366247,1443888.642234577,14
135,-0.037050716958122176,1352181.1353078966,14
136,0.011095717396730712,918664.6372237266,9
137,0.026291346762538113,1854756.6086677366,10
138,-0.01624622735872273,1878253.6767445742,12
139,0.005233214901901941,1637868.407765904,7
140,0.004921982597339038,1006001.3166020765,13
141,-0.015715340943026814,922656.678276231,7
142,-0.012006042883584462,930290.1758112862,13
143,0.005891543992359648,612528.1269798786,10
144,0.02293772699468843,898987.8849108272,13
145,-0.0020577301520547536,1593414.9680760268,9
146,0.021948429918254755,1000525.0930852148,13
147,0.0007956286926389738,1737517.8791577024,8
148,0.005904534997122236,794906.51612297,7
149,0.024280798868961274,898407.7240568029,15
150,-0.02789214191481199,2997871.975880365,16
151,-0.018515094492463833,2161361.848372896,11
152,0.0009072543073130738,1082199.4719899762,9
153,0.026857084826333172,1035451.2402969007,13
154,0.012767935394412457,925731.1849795625,9
155,-0.0013570908406743785,1189946.8060380954,11
156,-0.00919454728436391,3197355.6429834203,10
157,0.002164405696623163,1030349.0629712488,8
158,0.010545770760678017,967787.1042273291,13
159,-0.01574839066445506,858550.7102698236,4
160,0.016456899797421817,328692.24264017586,11
161,0.0026942442956701157,1845043.7579742053,13
162,0.01690265780210423,2452144.9567372315,13
163,-0.013218962481277234,1219736.5674538247,12
164,-0.017948174001627227,2288541.0442364565,10
165,0.011128979340896414,1149947.319901235,6
166,-0.025983870047653613,947761.0087736478,12
167,-0.0025972591847286336,989576.0041823728,11
168,-0.020393862794554924,1303677.2742209244,12
169,0.003229116842522717,1132311.601177922,8
170,-0.011974818039419688,773816.912765753,13
171,-0.003717362688348046,703764.8890331868,12
172,-0.0002952648692534957,1705905.0006455143,6
173,-0.037834014491577535,540885.960349675,11
174,-0.00370363863000449,1502261.8537352367,17
175,0.004400520411328496,1267798.8430828806,7
176,0.012231992802488807,2415037.102239222,10
177,-0.01227016924932049,702360.7161000904,11
178,0.010984067970304481,1005417.0258538775,10
179,-0.0011288585231580713,3227541.8614133676,13
180,-0.013927282060431373,598376.5878853906,13
181,-0.016272081475924526,1246898.9392149807,11
182,-0.006753447465971742,1228206.1172465517,16
183,-0.017114450373084567,2077388.265308252,13
184,0.021037121652598908,767329.0704163346,7
185,0.013365430553365181,1142187.6054231795,12
186,0.03517905701966487,1901819.9265923728,15
187,0.0024386675425761882,791317.7240828627,10
188,-0.008746013816754793,811335.913092855,13
189,0.00266873965477724,1218603.5364059096,11
190,-0.015126575657229097,1183304.0575422766,12
191,-0.00613911562974159,1218016.2377825235,7
192,0.012165166132965201,4348993.286513177,11
193,-0.007868785296931278,594094.4764220372,7
194,-0.012855148699663395,2131146.4978759023,8
195,0.006812093762973011,889004.2470822586,13
196,-0.04405085150904279,603823.362172121,10
197,0.012347955404461458,1008813.7541172387,15
198,-0.029937101695565675,1340569.8555589404,12
199,0.015840307292586182,1762675.79088494,11
200,-0.008709375240988268,822971.4511426091,11
201,0.007762194356102316,1225456.87748856,13
202,0.009787917027244186,1292118.1829310702,7
203,0.01845847951643311,642150.1436001621,10
204,0.018527760901292174,1043018.6494421184,7
205,-0.019976215339669857,1386664.7023386378,9
206,-0.021993955091008485,2259016.084570827,5
207,0.0014428118156986894,904915.5995916153,17
208,-0.00319064798037344,1018409.0702505573,18
209,0.01942554983970787,1996862.7456837203,9
210,0.004825392361841437,1002366.4326425544,8
211,0.023087242085922253,734417.8723302742,14
212,-0.02641782515362502,1428347.9767729018,10
213,0.0037545774709522085,957003.5502716531,22
214,0.05833032082150811,1233543.431201823,17
215,-0.020402494779296187,1316987.2650939312,10
216,0.023642647559563423,740826.027198647,19
217,-0.03438523177092896,1695436.9518624924,13
218,-0.007775517860166077,464515.4795047442,11
219,0.03988819342504193,2866721.4173196084,7
220,-0.02427573923295744,3489288.709959293,12
221,0.0046036413493567244,1075045.9084584503,15
222,0.005932899553525061,2108506.705333199,10
223,-0.012714364139853327,680375.8192637311,12
224,-0.00828917239230994,1553010.1386252192,15
225,-0.03183168250356645,1385741.827784195,14
226,-0.006116968675884617,1152022.294350705,15
227,0.004042531813914685,1522450.112617921,10
228,0.003995051125952006,1786274.5518201413,13
229,0.017637204187895692,1405744.8679734026,12
230,-0.001671851887638367,455152.6441181327,10
231,0.035186821741686254,1822871.5652526366,11
232,-0.009275785900745084,245573.44734496498,9
233,0.0163483315515273,848620.759851103,8
234,0.013888604683161932,1260891.1184134511,13
235,0.00769521127707035,2528229.0890843743,17
236,-0.004382105850285108,1754301.3318346413,13
237,0.010677528744013553,564298.6995751905,10
238,0.022015066546907346,1387658.1648560124,13
239,0.004191715464322658,1869841.4510129865,13
240,0.012797157329178396,1197520.3621425342,10
241,-0.018571160526569066,2041299.213410905,13
242,0.022523297235752908,767257.6907990063,11
243,-0.028772608951286693,2572456.4585577673,10
244,0.020155126735556562,911531.5637723557,7
245,0.008483694631686007,1567634.3914797888,12
246,0.036600737947295355,2034898.3718182447,13
247,-0.008804388053014301,1832040.1703199467,9
248,0.001578428667118606,693470.8810802564,10
249,-0.010431856787586482,1012067.4490250945,13
250,-0.005765273008880395,1003443.5538251628,14
251,0.02540207576491272,1921329.6907178406,13
252,0.00939226802113416,1925144.4693989377,11
253,-0.02031135172539386,937367.0387701768,12
254,0.03659918777648496,1496985.3681966718,10
255,-0.0159577572546814,1754719.846303026,15
256,-0.005243454639033425,769943.1293444494,16
257,0.024272836958829487,2427897.0272094384,8
258,0.01796644399530216,1114739.9208869098,12
259,-0.001368012555050347,671195.4491810886,6
260,-0.022780184566919274,985355.6303828987,11
261,0.00677928916743772,1384983.5994538337,9
262,-0.009868982595301497,794799.7022093912,16
263,0.030381098952455457,295539.41637125256,13
264,0.013496041442703801,910281.1346297814,9
265,-0.006025159479076579,1277294.1894032576,15
266,0.011207612570606323,2125001.3722865377,14
267,0.006111472178400098,848824.7322341794,11
268,-0.022530356413743822,2318923.8841164093,12
269,0.003740874253530261,1224473.747627426,8
270,-0.01799265326126011,3720335.0003927937,18
271,0.006766657465104052,708957.8079498026,15
272,-0.012779603185801265,1752402.9195803402,12
273,0.03793724971943711,1401133.367887604,17
274,-0.010014957670325276,941988.6666053896,20
275,0.004003581041552005,1884530.9302164665,11
276,-0.043803156447389135,1397136.1512633318,9
277,-0.00015415018521631243,815627.8264800105,10
278,-0.025686893098754257,1118493.437876207,16
279,0.003481902000623254,859813.8383709459,9
280,0.014294546019075687,4345904.979001985,12
281,0.002647629072138478,1658480.8995483797,15
282,0.0001847618371904347,1954678.3561635194,12
283,0.010064280902897483,1229469.2349747897,14
284,-0.036250192105515104,917014.7274578834,10
285,-0.010815623232117762,2650279.944198435,10
286,0.00019055530856931755,2503029.2914316677,14
287,0.0006551205356919634,1065081.40810956,5
288,0.01975567875865165,1233740.7799560628,14
289,0.005899242016385258,1990913.6515162555,18
290,-0.011109304726634493,1290213.8447934338,9
291,-0.030317489741769947,2517946.177891639,14
292,-0.003552356757316898,824650.2066749737,11
293,-0.023092257685531782,566970.299882162,15
294,0.029722699671808593,1930115.1124610952,16
295,-0.0038884322340155915,3665029.9709579987,11
296,-0.02073471420422049,2416457.5511799115,22
297,0.00040698984585195376,697419.7861255727,11
298,-0.004495532222391729,901264.9124730141,14
299,0.02003669326141012,1333134.5436899106,10
300,-0.030316945719087603,1653486.7342299893,9
301,0.009149511328193366,321843.0614454703,15
302,0.004745965535748993,1167467.9838053382,11
303,-0.002483408252345939,1206549.12629849,9
304,-0.0007928534588233038,1425458.9919999198,9
305,-0.008669387303462213,1251244.117300622,13
306,-0.004117108560328563,1652531.2915929893,9
307,0.027562288672915977,936379.1129437317,11
308,-0.010527540633782967,1564267.6433456903,12
309,-0.012612035167892858,2179744.8166909497,11
310,-0.026201411537656163,2720122.118065888,13
311,0.012866636272444918,2465650.716282373,8
312,0.00010279883600274064,1035707.9077146321,17
313,-0.021225858679719815,1886853.0125855808,7
314,-0.03217255188063948,1243674.1933702019,9
315,0.0068513316437355835,802260.5101824853,9
